N,runtime
20,12.412
21,12.418
22,12.43
23,12.42
24,12.433
25,12.392
26,12.398
27,12.402
28,12.34
29,12.335
30,12.364
31,12.391
32,12.423
33,12.415
34,12.433
35,12.434
36,12.412
37,12.44
38,12.419
39,12.352
40,12.438
41,12.365
42,12.405
43,12.349
44,12.394
45,12.373
46,12.384
47,12.388
48,12.366
49,12.356
50,12.328
51,12.398
52,12.367
53,12.348
54,12.329
55,12.384
56,12.426
57,12.387
58,12.384
59,12.388
60,12.431
61,12.427
62,12.403
63,12.377
64,12.418
65,12.411
66,12.404
67,12.429
68,12.387
69,12.363
70,12.371
71,12.388
72,12.366
73,12.404
74,12.453
75,12.391
76,12.42
77,12.388
78,12.388
79,12.403
80,12.4
81,12.449
82,12.453
83,12.422
84,12.361
85,12.44
86,12.434
87,12.381
88,12.45
89,12.388
90,12.495
91,12.419
92,12.426
93,12.432
94,12.346
95,12.458
96,12.431
97,12.382
98,12.456
99,12.468
100,12.42
101,12.398
102,12.436
103,12.469
104,12.408
105,12.44
106,12.445
107,12.443
108,12.404
109,12.393
110,12.458
111,12.432
112,12.401
113,12.501
114,12.44
115,12.382
116,12.382
117,12.485
118,12.492
119,12.468
120,12.479
121,12.435
122,12.468
123,12.5
124,12.457
125,12.556
126,12.527
127,12.527
128,12.508
129,12.473
130,12.493
131,12.509
132,12.549
133,12.459
134,12.408
135,12.473
136,12.486
137,12.525
138,12.515
139,12.496
140,12.546
141,12.505
142,12.547
143,12.546
144,12.459
145,12.572
146,12.521
147,12.513
148,12.551
149,12.558
150,12.553
151,12.566
152,12.541
153,12.494
154,12.457
155,12.501
156,12.525
157,12.569
158,12.511
159,12.514
160,12.555
161,12.576
162,12.538
163,12.567
164,12.536
165,12.576
166,12.529
167,12.597
168,12.669
169,12.825
170,12.576
171,12.643
172,12.618
173,12.596
174,12.583
175,12.663
176,12.63
177,12.646
178,12.587
179,12.659
180,12.595
181,12.58
182,12.608
183,12.576
184,12.586
185,12.613
186,12.677
187,12.658
188,12.625
189,12.645
190,12.68
191,12.653
192,12.598
193,12.644
194,12.624
195,12.606
196,12.637
197,12.66
198,12.665
199,12.617
200,12.741
201,12.647
202,12.708
203,12.67
204,12.648
205,12.677
206,12.644
207,12.71
208,12.651
209,12.662
210,12.644
211,12.703
212,12.672
213,12.696
214,12.705
215,12.719
216,12.656
217,12.745
218,12.708
219,12.746
220,12.707
221,12.724
222,12.72
223,12.723
224,12.736
225,12.728
226,12.673
227,12.689
228,12.669
229,12.725
230,12.768
231,12.698
232,12.769
233,12.721
234,12.762
235,12.773
236,12.728
237,12.711
238,12.775
239,12.738
240,12.712
241,12.734
242,12.785
243,12.72
244,12.735
245,12.705
246,12.759
247,12.761
248,12.808
249,12.776
250,12.781
251,12.812
252,12.779
253,12.712
254,12.784
255,12.775
256,12.823
257,12.823
258,12.857
259,12.757
260,12.788
261,12.818
262,12.753
263,12.75
264,12.761
265,12.834
266,12.773
267,12.821
268,12.815
269,12.8
270,12.78
271,12.839
272,12.822
273,12.813
274,12.875
275,12.9
276,12.874
277,13.02
278,12.874
279,12.809
280,12.871
281,12.862
282,12.915
283,12.937
284,12.981
285,12.884
286,12.942
287,12.913
288,12.908
289,12.856
290,13.04
291,12.957
292,12.954
293,13.004
294,13.033
295,13.024
296,12.948
297,12.964
298,13.089
299,12.98
300,13.053
301,12.995
302,13.094
303,13.032
304,13.185
305,13.164
306,13.129
307,13.109
308,13.114
309,13.166
310,13.053
311,13.1
312,13.191
313,13.203
314,13.23
315,13.139
316,13.216
317,13.141
318,13.199
319,13.186
320,13.252
321,13.231
322,13.189
323,13.238
324,13.283
325,13.33
326,13.21
327,13.242
328,13.091
329,13.283
330,13.315
331,13.282
332,13.284
333,13.309
334,13.291
335,13.261
336,13.352
337,13.309
338,13.342
339,13.332
340,13.335
341,13.386
342,13.329
343,13.456
344,13.336
345,13.488
346,13.516
347,13.453
348,13.427
349,13.465
350,13.482
351,13.515
352,13.425
353,13.415
354,13.496
355,13.506
356,13.467
357,13.69
358,13.54
359,13.608
360,13.661
361,13.661
362,13.521
363,13.525
364,13.519
365,13.668
366,13.594
367,13.558
368,13.619
369,13.598
370,13.611
371,13.589
372,13.539
373,13.587
374,13.667
375,13.694
376,13.738
377,13.649
378,13.654
379,13.721
380,13.641
381,13.677
382,13.73
383,13.807
384,13.784
385,13.643
386,13.815
387,13.683
388,13.778
389,13.721
390,13.735
391,13.826
392,13.812
393,13.803
394,13.868
395,13.93
396,13.864
397,14.011
398,13.83
399,13.893
400,13.987
401,14.019
402,13.898
403,14.014
404,14.005
405,13.939
406,13.909
407,13.943
408,14.015
409,14.131
410,14.006
411,14.107
412,14.115
413,14.089
414,14.169
415,14.148
416,14.125
417,14.228
418,14.313
419,14.116
420,14.296
421,14.188
422,14.244
423,14.16
424,14.309
425,14.265
426,14.326
427,14.346
428,14.299
429,14.312
430,14.393
431,14.471
432,14.449
433,14.479
434,14.536
435,14.565
436,14.521
437,14.585
438,14.64
439,14.681
440,14.66
441,14.643
442,14.663
443,14.769
444,14.795
445,14.762
446,14.782
447,14.889
448,14.845
449,14.857
450,14.931
451,14.92
452,14.891
453,14.911
454,14.989
455,14.991
456,14.953
457,14.948
458,15.014
459,15.059
460,15.116
461,15.077
462,15.185
463,15.142
464,15.146
465,15.231
466,15.24
467,15.243
468,15.317
469,15.348
470,15.384
471,15.517
472,15.486
473,15.568
474,15.549
475,15.457
476,15.516
477,15.532
478,15.597
479,15.527
480,15.625
481,15.658
482,15.704
483,15.776
484,15.719
485,15.786
486,15.716
487,15.823
488,15.879
489,15.868
490,15.873
491,15.897
492,15.98
493,15.998
494,15.944
495,15.966
496,16.06
497,16.098
498,16.095
499,16.068
500,16.117
501,16.153
502,16.199
503,16.229
504,16.254
505,16.189
506,16.211
507,16.244
508,16.345
509,16.419
510,16.358
511,16.328
512,16.4
513,16.402
514,16.554
515,16.476
516,16.499
517,16.582
518,16.572
519,16.528
520,16.583
521,16.619
522,16.692
523,16.673
524,16.663
525,16.728
526,16.695
527,16.744
528,16.739
529,16.851
530,16.89
531,16.878
532,16.844
533,16.904
534,16.956
535,16.966
536,16.966
537,16.982
538,17.006
539,16.995
540,17.066
541,17.044
542,17.105
543,17.064
544,17.146
545,17.228
546,17.203
547,17.231
548,17.24
549,17.275
550,17.372
551,17.298
552,17.324
553,17.326
554,17.406
555,17.362
556,17.431
557,17.385
558,17.642
559,17.497
560,17.501
561,17.59
562,17.651
563,17.694
564,17.648
565,17.858
566,17.674
567,17.692
568,17.806
569,17.803
570,17.81
571,17.782
572,17.94
573,17.814
574,17.885
575,18.018
576,17.983
577,17.999
578,17.985
579,18.059
580,18.122
581,18.151
582,18.126
583,18.081
584,18.196
585,18.211
586,18.134
587,18.239
588,18.269
589,18.259
590,18.341
591,18.328
592,18.403
593,18.383
594,18.359
595,18.392
596,18.413
597,18.435
598,18.494
599,18.497
600,18.458
601,18.508
602,18.612
603,18.634
604,18.704
605,18.743
606,18.819
607,18.794
608,18.763
609,18.83
610,18.877
611,18.867
612,18.91
613,18.926
614,18.933
615,18.989
616,18.905
617,19.022
618,19.081
619,19.068
620,19.105
621,19.087
622,19.154
623,19.11
624,19.233
625,19.172
626,19.22
627,19.31
628,19.288
629,19.305
630,19.327
631,19.364
632,19.34
633,19.413
634,19.415
635,19.421
636,19.411
637,19.575
638,19.573
639,19.607
640,19.665
641,19.559
642,19.641
643,19.64
644,19.679
645,19.603
646,19.6
647,19.741
648,19.822
649,19.803
650,19.871
651,19.895
652,19.796
653,19.818
654,19.943
655,19.979
656,19.942
657,19.991
658,19.935
659,20.072
660,19.952
661,20.017
662,20.047
663,20.063
664,20.135
665,20.176
666,20.215
667,20.295
668,20.247
669,20.233
670,20.247
671,20.248
672,20.225
673,20.464
674,20.282
675,20.377
676,20.328
677,20.371
678,20.572
679,20.399
680,20.514
681,20.463
682,20.52
683,20.535
684,20.578
685,20.571
686,20.524
687,20.634
688,20.655
689,20.59
690,20.714
691,20.677
692,20.682
693,20.715
694,20.915
695,20.776
696,20.898
697,20.864
698,20.922
699,21.02
700,20.905
701,20.927
702,20.954
703,20.988
704,20.983
705,21.231
706,21.077
707,21.011
708,21.101
709,21.106
710,21.134
711,21.105
712,21.073
713,21.215
714,21.145
715,21.227
716,21.26
717,21.292
718,21.241
719,21.412
720,21.297
721,21.406
722,21.507
723,21.428
724,21.375
725,21.38
726,21.519
727,21.423
728,21.584
729,21.53
730,21.589
731,21.616
732,21.577
733,21.705
734,21.702
735,21.651
736,21.749
737,21.744
738,21.73
739,21.644
740,21.781
741,21.776
742,21.821
743,21.857
744,21.885
745,21.796
746,21.819
747,21.954
748,21.917
749,22.098
750,22.094
751,22.003
752,22.113
753,22.054
754,22.107
755,22.169
756,22.167
757,22.098
758,22.202
759,22.31
760,22.277
761,22.289
762,22.251
763,22.412
764,22.34
765,22.274
766,22.343
767,22.406
768,22.334
769,22.369
770,22.459
771,22.501
772,22.481
773,22.502
774,22.542
775,22.509
776,22.646
777,22.601
778,22.564
779,22.752
780,22.732
781,22.78
782,22.718
783,22.729
784,22.782
785,22.818
786,22.997
787,22.797
788,22.852
789,22.75
790,22.913
