N,runtime
20,12.013
21,11.987
22,11.875
23,12
24,12.011
25,11.982
26,11.943
27,12.02
28,11.974
29,11.878
30,11.844
31,11.85
32,11.784
33,11.892
34,11.749
35,11.837
36,11.813
37,11.807
38,11.801
39,11.861
40,11.855
41,11.777
42,11.817
43,11.837
44,11.891
45,11.817
46,11.977
47,11.955
48,11.941
49,12.013
50,11.944
51,11.926
52,11.926
53,12.004
54,12.04
55,11.969
56,12.026
57,12.012
58,11.983
59,11.922
60,11.971
61,12.018
62,12.038
63,12.068
64,12.08
65,12.024
66,12.021
67,12.055
68,12.058
69,12.085
70,12.157
71,12.107
72,12.115
73,12.085
74,12.146
75,12.108
76,12.138
77,12.208
78,12.204
79,12.103
80,12.182
81,12.212
82,12.228
83,12.194
84,12.301
85,12.409
86,12.381
87,12.384
88,12.443
89,12.465
90,12.5
91,12.535
92,12.593
93,12.498
94,12.57
95,12.644
96,12.713
97,12.715
98,12.694
99,12.787
100,12.815
101,12.826
102,12.861
103,12.698
104,12.846
105,12.968
106,12.953
107,12.91
108,12.748
109,12.812
110,12.976
111,12.927
112,12.971
113,12.895
114,13.046
115,13.06
116,13.002
117,13.083
118,12.903
119,13.128
120,12.936
121,13.185
122,13.225
123,13.088
124,13.268
125,13.387
126,13.132
127,13.176
128,13.284
129,13.349
130,13.224
131,13.397
132,13.203
133,13.416
134,13.368
135,13.156
136,13.225
137,13.468
138,13.167
139,13.322
140,13.519
141,13.62
142,13.731
143,13.405
144,13.209
145,13.544
146,13.756
147,13.601
148,13.355
149,13.491
150,13.285
151,13.68
152,14.092
153,14.198
154,13.825
155,13.925
156,13.513
157,13.918
158,13.871
159,13.804
160,13.893
161,13.874
162,13.874
163,14.105
164,13.903
165,13.915
166,13.865
167,13.707
168,13.74
169,14.038
170,14.122
171,14.251
172,14.03
173,13.858
174,14.358
175,14.045
176,14.062
177,14.04
178,14.327
179,14.213
180,14.077
181,14.098
182,14.066
183,14.169
184,14.557
185,14.211
186,14.307
187,14.21
188,14.181
189,14.367
190,14.481
191,14.501
192,14.425
193,14.605
194,14.325
195,14.684
196,14.338
197,14.663
198,14.376
199,14.387
200,14.542
201,14.316
202,14.446
203,14.375
204,14.536
205,14.441
206,14.639
207,14.557
208,14.519
209,14.849
210,14.614
211,14.677
212,14.513
213,14.691
214,14.644
215,14.593
216,14.783
217,14.774
218,14.853
219,14.682
220,14.713
221,14.672
222,14.881
223,14.677
224,14.918
225,15.045
226,14.781
227,14.753
228,14.875
229,14.83
230,14.979
231,14.874
232,14.938
233,14.932
234,15.056
235,15.054
236,14.999
237,15.051
238,14.941
239,15.067
240,15.123
241,15.229
242,14.977
243,15.058
244,15.101
245,15.225
246,15.225
247,15.183
248,15.263
249,15.174
250,15.202
251,15.287
252,15.255
253,15.345
254,15.399
255,15.428
256,15.333
257,15.439
258,15.414
259,15.517
260,15.441
261,15.614
262,15.582
263,15.666
264,15.649
265,15.739
266,15.662
267,15.757
268,15.676
269,15.703
270,15.772
271,15.744
272,15.898
273,15.895
274,15.822
275,15.982
276,15.815
277,15.981
278,15.956
279,15.982
280,16.031
281,16.061
282,16.059
283,16.064
284,16.07
285,16.084
286,16.232
287,16.215
288,16.195
289,16.203
290,16.207
291,16.286
292,16.258
293,16.228
294,16.251
295,16.352
296,16.358
297,16.369
298,16.409
299,16.491
300,16.501
301,16.438
302,16.557
303,16.487
304,16.567
305,16.627
306,16.653
307,16.677
308,16.706
309,16.727
310,16.748
311,16.81
312,16.801
313,16.829
314,16.811
315,16.898
316,16.911
317,16.879
318,16.949
319,16.96
320,17.014
321,17.016
322,17.062
323,16.989
324,17.02
325,17.075
326,17.106
327,17.157
328,17.191
329,17.244
330,17.189
331,17.271
332,17.321
333,17.29
334,17.307
335,17.398
336,17.37
337,17.367
338,17.341
339,17.421
340,17.466
341,17.422
342,17.468
343,17.468
344,17.513
345,17.495
346,17.584
347,17.604
348,17.652
349,17.644
350,17.736
351,17.739
352,17.696
353,17.952
354,17.755
355,17.799
356,17.823
357,17.86
358,17.88
359,17.959
360,17.982
361,18.036
362,18.002
363,18.072
364,18.053
365,18.068
366,18.077
367,18.073
368,18.096
369,18.123
370,18.139
371,18.148
372,18.156
373,18.223
374,18.202
375,18.226
376,18.283
377,18.247
378,18.291
379,18.29
380,18.352
381,18.372
382,18.389
383,18.375
384,18.465
385,18.5
386,18.499
387,18.516
388,18.58
389,18.556
390,18.575
391,18.598
392,18.632
393,18.668
394,18.691
395,18.736
396,18.736
397,18.753
398,18.797
399,18.79
400,18.837
401,18.839
402,18.852
403,18.897
404,18.857
405,18.917
406,18.937
407,18.953
408,18.988
409,19.03
410,19.04
411,19.04
412,19.067
413,19.09
414,19.141
415,19.137
416,19.176
417,19.207
418,19.244
419,19.221
420,19.311
421,19.358
422,19.382
423,19.392
424,19.426
425,19.438
426,19.455
427,19.47
428,19.497
429,19.492
430,19.537
431,19.556
432,19.56
433,19.607
434,19.626
435,19.681
436,19.636
437,19.683
438,19.725
439,19.694
440,19.705
441,19.735
442,19.749
443,19.798
444,19.815
445,19.85
446,19.892
447,19.872
448,19.91
449,19.912
450,19.935
451,19.949
452,19.993
453,19.964
454,20.019
455,20.005
456,20.031
457,20.093
458,20.079
459,20.075
460,20.108
461,20.124
462,20.145
463,20.167
464,20.205
465,20.262
466,20.267
467,20.305
468,20.287
469,20.342
470,20.319
471,20.325
472,20.385
473,20.403
474,20.383
475,20.401
476,20.44
477,20.432
478,20.444
479,20.433
480,20.464
481,20.439
482,20.488
483,20.518
484,20.533
485,20.561
486,20.577
487,20.596
488,20.612
489,20.62
490,20.651
491,20.742
492,20.7
493,20.72
494,20.721
495,20.746
496,20.804
497,20.816
498,20.81
499,20.84
500,20.86
501,20.808
502,20.891
503,20.899
504,20.907
505,20.94
506,20.95
507,20.946
508,20.982
509,20.998
510,20.999
511,21.036
512,21.062
513,21.069
514,21.093
515,21.115
516,21.126
517,21.141
518,21.143
519,21.16
520,21.209
521,21.222
522,21.222
523,21.254
524,21.274
525,21.282
526,21.3
527,21.324
528,21.326
529,21.383
530,21.372
531,21.36
532,21.387
533,21.386
534,21.61
535,21.435
536,21.424
537,21.444
538,21.455
539,21.496
540,21.508
541,21.507
542,21.53
543,21.557
544,21.659
545,21.651
546,21.712
547,21.706
548,21.678
549,21.75
550,21.777
551,21.804
552,21.799
553,21.834
554,21.86
555,21.864
556,21.873
557,21.901
558,21.94
559,21.931
560,21.975
561,21.914
562,21.884
563,21.962
564,21.936
565,21.974
566,21.993
567,21.999
568,22.035
569,22.047
570,22.064
571,22.044
572,22.054
573,22.077
574,22.094
575,22.123
576,22.109
577,22.107
578,22.112
579,22.164
580,22.166
581,22.17
582,22.193
583,22.175
584,22.201
585,22.193
586,22.252
587,22.289
588,22.308
589,22.339
590,22.331
591,22.349
592,22.392
593,22.358
594,22.399
595,22.377
596,22.399
597,22.432
598,22.463
599,22.463
