N,runtime,cp_times
20,12.121,4093
21,12.148,3991
22,12.027,3874
23,12.18,3803
24,12.109,3756
25,12.086,3722
26,12.055,3699
27,12.008,3687
28,12.09,3683
29,12.034,3677
30,12.052,3669
31,11.97,3656
32,11.904,3645
33,11.958,3631
34,12.071,3609
35,11.832,3587
36,12,3554
37,11.823,3525
38,12.038,3476
39,11.851,3430
40,11.968,3391
41,11.886,3347
42,12.013,3278
43,11.988,3221
44,11.977,3173
45,12.08,3116
46,12.052,3072
47,12.038,3047
48,12.003,3014
49,12.121,2981
50,12.098,2956
51,12.077,2931
52,12.094,2904
53,12.137,2878
54,12.113,2856
55,12.148,2843
56,12.123,2829
57,12.083,2821
58,12.11,2813
59,12.096,2803
60,12.072,2799
61,12.126,2789
62,12.165,2785
63,12.242,2781
64,12.207,2779
65,12.171,2778
66,12.17,2775
67,12.222,2771
68,12.119,2770
69,12.201,2770
70,12.187,2765
71,12.184,2764
72,12.25,2762
73,12.147,2762
74,12.181,2762
75,12.186,2762
76,12.238,2760
77,12.251,2760
78,12.317,2760
79,12.212,2760
80,12.26,2760
81,12.391,2760
82,12.332,2760
83,12.336,2760
84,12.471,2760
85,12.345,2760
86,12.446,2760
87,12.514,2760
88,12.466,2760
89,12.496,2760
90,12.445,2760
91,12.548,2760
92,12.565,2760
93,12.574,2760
94,12.571,2760
95,12.695,2760
96,12.608,2760
97,12.685,2760
98,12.748,2760
99,12.802,2760
100,12.704,2760
101,12.824,2760
102,12.657,2760
103,12.836,2760
104,12.969,2760
105,12.91,2760
106,12.992,2760
107,12.951,2760
108,12.879,2760
109,12.972,2760
110,12.921,2760
111,12.906,2760
112,12.941,2760
113,12.771,2760
114,12.79,2760
115,13.194,2760
116,12.844,2760
117,13.259,2760
118,13.142,2760
119,13.044,2760
120,13.037,2760
121,12.946,2760
122,13.119,2760
123,13.122,2760
124,13.317,2760
125,13.431,2760
126,13.182,2760
127,13.218,2760
128,13.324,2760
129,13.441,2760
130,13.264,2760
131,13.203,2760
132,13.16,2760
133,13.518,2760
134,13.331,2760
135,13.573,2760
136,13.431,2760
137,13.449,2760
138,13.383,2760
139,13.262,2760
140,13.322,2760
141,13.457,2760
142,13.683,2760
143,13.45,2760
144,13.562,2760
145,13.268,2760
146,13.618,2760
147,13.774,2760
148,13.799,2760
149,13.682,2760
150,13.455,2760
151,13.744,2760
152,13.5,2760
153,13.936,2760
154,14.156,2760
155,14.026,2760
156,13.647,2760
157,13.988,2760
158,13.669,2760
159,14.094,2760
160,14.019,2760
161,13.886,2760
162,14.183,2760
163,14.269,2760
164,14.228,2760
165,13.96,2760
166,14.087,2760
167,14.001,2760
168,13.757,2760
169,13.975,2760
170,14.138,2760
171,14.249,2760
172,14.25,2760
173,14.025,2760
174,14.376,2760
175,14.229,2760
176,14.339,2760
177,14.32,2760
178,14.17,2760
179,14.133,2760
180,13.869,2760
181,14.414,2760
182,14.199,2760
183,14.204,2760
184,14.061,2760
185,14.276,2760
186,14.151,2760
187,14.07,2760
188,14.272,2760
189,14.388,2760
190,14.476,2760
191,14.503,2760
192,14.46,2760
193,14.359,2760
194,14.212,2760
195,14.622,2760
196,14.562,2760
197,14.606,2760
198,14.563,2760
199,14.461,2760
200,14.452,2760
201,14.351,2760
202,14.553,2759
203,14.384,2759
204,14.59,2759
